target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
;2;44767;0;14;2;1;0;1;;1;1;1;28;1;1
;2;44900;0;25;2;5;0;1;17001;17;4;5;;0;1
;2;44797;0;14;2;1;0;1;;6;1;1;26;1;1
;2;44858;0;15;1;1;1;1;;5;1;1;62;1;1
;2;44848;0;19;1;1;0;1;;3;1;1;70;1;1
;2;44722;0;21;1;5;0;1;5001;11;4;5;;0;1
;2;44914;0;36;1;5;0;1;;6;1;1;12;1;1
;2;44894;0;6;1;1;0;1;;12;1;1;19;1;1
;2;44890;0;23;2;5;0;1;5001;18;4;5;;0;1
;2;44890;0;28;1;5;0;1;76834;6;4;5;;0;1
;2;44858;0;8;1;1;0;1;;3;1;1;20;1;1
;2;44901;0;38;1;1;0;1;;9;1;1;16;1;1
;2;44931;0;15;1;1;1;1;;5;1;1;25;1;1
;2;44907;0;30;2;3;0;1;;17;1;1;13;1;1
;2;44931;0;10;1;1;0;1;;16;1;1;27;1;1
;2;44929;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44512;0;38;1;5;0;1;76041;12;4;5;;0;1
;2;44848;0;18;1;1;1;1;;5;1;1;19;1;1
;2;44785;0;23;2;1;0;1;;1;1;1;39;1;1
;2;44832;0;10;1;1;0;1;;12;1;1;12;1;1
;2;44917;0;25;2;2;0;1;;1;1;1;64;1;1
;2;44908;0;38;1;1;0;1;;12;1;1;19;1;1
;2;44908;0;23;1;5;0;1;20001;1;4;5;;0;1
;2;44848;0;8;2;1;0;1;;3;1;1;4;1;1
;2;44945;0;14;1;1;0;1;11001;6;3;4;1;0;
;2;44945;0;25;2;1;0;1;11001;1;1;2;39;0;1
;2;44848;0;15;1;1;1;1;;5;1;1;62;1;1
;2;44313;0;14;2;1;0;1;5001;1;3;4;1;0;
;2;44900;0;6;1;1;0;1;;12;1;1;30;1;1
;2;44902;0;15;1;1;1;1;;5;1;1;5;1;1
;2;44859;0;7;2;1;0;1;;1;1;1;11;1;1
;2;44910;0;24;1;1;0;1;;11;1;1;83;1;1
;2;44839;0;38;1;1;0;1;;12;1;1;9;1;1
;2;44918;0;32;1;2;0;1;;11;1;1;4;1;1
;2;44979;0;25;1;2;0;1;;1;1;1;6;1;1
;2;44914;0;25;1;2;0;1;;6;1;1;20;1;1
;2;44916;0;25;2;5;0;1;76001;6;4;5;;0;1
;2;44813;0;32;1;5;0;1;52356;11;4;5;;0;1
;2;44893;0;32;1;2;0;1;;11;1;1;18;1;1
;2;44887;0;15;1;1;1;1;;5;1;1;4;1;1
;2;44868;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44880;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44970;0;38;1;1;0;1;;12;1;1;23;1;1
;2;44916;0;32;1;2;0;1;;11;1;1;19;1;1
;2;44911;0;15;1;1;1;1;;5;1;1;7;1;1
;2;44960;0;38;1;1;0;1;;12;1;1;;1;1
;2;44963;0;38;1;1;0;1;;12;1;1;6;1;1
;2;44951;0;15;1;1;0;1;73001;5;1;2;19;0;1
;2;44875;0;15;1;1;1;1;;5;1;1;64;1;1
;2;44974;0;25;1;2;0;1;;1;1;1;77;1;1
;2;44908;0;38;1;1;0;1;;12;1;1;28;1;1
;2;44693;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44904;0;25;1;2;0;1;;1;1;1;30;1;1
;2;44858;0;8;1;1;0;1;;3;1;1;5;1;1
;2;44876;0;23;1;2;0;1;;1;1;1;9;1;1
;2;44918;0;25;2;2;0;1;;1;1;1;37;1;1
;2;44942;0;32;1;2;0;1;;18;1;1;5;1;1
;2;44550;0;26;1;5;0;1;76001;28;4;5;;0;1
