target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
CANDIDATO AUTOMATICO;2;8/03/2023;0;14;1;1;0;1;;1;1;1;64;1;1
CANDIDATO AUTOMATICO;2;8/03/2023;0;7;1;1;0;1;;1;1;1;64;1;1
CANDIDATO AUTOMATICO;2;9/03/2023;0;7;1;1;0;1;;1;1;1;13;1;1
CANDIDATO AUTOMATICO;2;7/02/2023;0;1;1;1;0;1;;11;1;1;64;1;1
CANDIDATO AUTOMATICO;2;7/02/2023;0;7;1;1;0;1;;18;1;1;12;1;1
CANDIDATO AUTOMATICO;2;10/10/2022;0;14;1;1;0;1;;1;1;1;36;1;1
CANDIDATO AUTOMATICO;2;7/02/2023;0;14;1;1;0;1;;1;1;1;64;1;1
CANDIDATO AUTOMATICO;2;13/02/2023;0;7;1;1;0;1;;1;1;1;15;1;1
CANDIDATO AUTOMATICO;2;21/03/2023;0;7;1;1;0;1;;1;1;1;19;1;1
CANDIDATO AUTOMATICO;2;21/03/2023;0;7;1;1;0;1;;1;1;1;19;1;1
CANDIDATO AUTOMATICO;2;21/03/2023;0;7;1;1;0;1;;1;1;1;19;1;1
CANDIDATO AUTOMATICO;2;21/03/2023;0;7;1;1;0;1;;1;1;1;12;1;1
CANDIDATO AUTOMATICO;2;7/03/2023;0;7;1;1;0;1;;1;1;1;10;1;1
CANDIDATO AUTOMATICO;2;7/03/2023;0;14;1;1;0;1;;1;1;1;18;1;1
CANDIDATO AUTOMATICO;2;7/03/2023;0;7;1;1;0;1;;1;1;1;10;1;1
CANDIDATO AUTOMATICO;2;7/03/2023;0;7;1;1;0;1;;18;1;1;18;1;1
CANDIDATO AUTOMATICO;2;21/12/2022;0;14;1;1;0;1;;6;1;1;8;1;1
CANDIDATO AUTOMATICO;2;9/12/2022;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;21/02/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;10/03/2023;0;7;1;1;0;1;;1;1;1;26;1;1
CANDIDATO AUTOMATICO;2;10/03/2023;0;14;1;1;0;1;;1;1;1;4;1;1
CANDIDATO AUTOMATICO;2;2/01/2023;0;7;1;1;0;1;;1;1;1;40;1;1
CANDIDATO AUTOMATICO;2;23/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;23/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;23/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;23/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;17/02/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;17/02/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;16/01/2023;0;14;1;1;0;1;;6;1;1;17;1;1
CANDIDATO AUTOMATICO;2;16/01/2023;0;7;1;1;0;1;;1;1;1;47;1;1
CANDIDATO AUTOMATICO;2;20/01/2023;0;7;1;1;0;1;;1;1;1;22;1;1
CANDIDATO AUTOMATICO;2;20/02/2023;0;7;1;1;0;1;;6;1;1;23;1;1
CANDIDATO AUTOMATICO;2;20/02/2023;0;7;1;1;0;1;;1;1;1;23;1;1
CANDIDATO AUTOMATICO;2;17/01/2023;0;14;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;17/01/2023;0;1;1;1;0;1;;11;1;1;6;1;1
CANDIDATO AUTOMATICO;2;17/01/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;15/03/2023;0;7;1;1;0;1;;1;1;1;13;1;1
CANDIDATO AUTOMATICO;2;15/03/2023;0;7;1;1;0;1;;1;1;1;13;1;1
CANDIDATO AUTOMATICO;2;15/03/2023;0;7;1;1;0;1;;1;1;1;19;1;1
CANDIDATO AUTOMATICO;2;15/03/2023;0;7;1;1;0;1;;1;1;1;35;1;1
CANDIDATO AUTOMATICO;2;11/01/2023;0;7;1;1;0;1;;1;1;1;20;1;1
CANDIDATO AUTOMATICO;2;13/03/2023;0;7;1;1;0;1;;18;1;1;11;1;1
CANDIDATO AUTOMATICO;2;13/03/2023;0;14;1;1;0;1;;1;1;1;13;1;1
CANDIDATO AUTOMATICO;2;10/02/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;20/01/2023;0;1;1;1;0;1;;18;1;1;64;1;1
CANDIDATO AUTOMATICO;2;16/02/2023;0;7;1;1;0;1;;1;1;1;15;1;1
CANDIDATO AUTOMATICO;2;1/02/2023;0;7;1;1;0;1;;1;1;1;29;1;1
CANDIDATO AUTOMATICO;2;2/02/2023;0;14;1;1;0;1;;1;1;1;45;1;1
CANDIDATO AUTOMATICO;2;18/01/2023;0;7;1;1;0;1;;1;1;1;4;1;1
CANDIDATO AUTOMATICO;2;18/01/2023;0;14;1;1;0;1;;1;1;1;13;1;1
CANDIDATO AUTOMATICO;2;24/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;23/12/2022;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;23/12/2022;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;23/02/2023;0;7;1;1;0;1;;1;1;1;7;1;1
CANDIDATO AUTOMATICO;2;20/10/2022;0;14;1;1;0;1;;18;1;1;31;1;1
CANDIDATO AUTOMATICO;2;4/01/2023;0;14;1;1;0;1;;1;1;1;4;1;1
CANDIDATO AUTOMATICO;2;31/01/2023;0;7;1;1;0;1;;1;1;1;8;1;1
CANDIDATO AUTOMATICO;2;30/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;2/02/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;2/02/2023;0;14;1;1;0;1;;18;1;1;21;1;1
CANDIDATO AUTOMATICO;2;25/01/2023;0;7;1;1;0;1;;1;1;1;11;1;1
CANDIDATO AUTOMATICO;2;13/02/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;13/02/2023;0;7;1;1;0;1;;1;1;1;6;1;1
CANDIDATO AUTOMATICO;2;13/02/2023;0;7;1;1;0;1;;1;1;1;32;1;1
CANDIDATO AUTOMATICO;2;13/02/2023;0;1;1;1;0;1;;11;1;1;16;1;1
CANDIDATO AUTOMATICO;2;25/01/2023;0;7;1;1;0;1;;1;1;1;28;1;1
CANDIDATO AUTOMATICO;2;24/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;24/01/2023;0;14;1;1;0;1;;1;1;1;70;1;1
CANDIDATO AUTOMATICO;2;19/01/2023;0;7;1;1;0;1;;1;1;1;44;1;1
CANDIDATO AUTOMATICO;2;21/03/2023;0;7;1;1;0;1;;1;1;1;20;1;1
CANDIDATO AUTOMATICO;2;8/02/2023;0;7;1;1;0;1;;1;1;1;44;1;1
CANDIDATO AUTOMATICO;2;8/02/2023;0;7;1;1;0;1;;1;1;1;10;1;1
CANDIDATO AUTOMATICO;2;8/02/2023;0;7;1;1;0;1;;1;1;1;23;1;1
CANDIDATO AUTOMATICO;2;8/02/2023;0;7;1;1;0;1;;1;1;1;10;1;1
CANDIDATO AUTOMATICO;2;20/02/2023;0;7;1;1;0;1;;1;1;1;25;1;1
CANDIDATO AUTOMATICO;2;13/01/2023;0;7;1;1;0;1;;1;1;1;12;1;1
CANDIDATO AUTOMATICO;2;13/01/2023;0;14;1;1;0;1;;1;1;1;11;1;1
CANDIDATO AUTOMATICO;2;19/01/2023;0;7;1;1;0;1;;6;1;1;6;1;1
CANDIDATO AUTOMATICO;2;23/12/2022;0;14;1;1;0;1;;1;1;1;4;1;1
CANDIDATO AUTOMATICO;2;19/01/2023;0;14;1;1;0;1;;6;1;1;6;1;1
