No_Radicacion;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado;Grupotrabajo;Salarioprom;Target;salariosMin
2023_1339136_2;2;45007;0;25;1;5;0;1;23001;1;4;5;;0;1;1;;MANUAL;21
2023_3813395;2;44995;0;21;1;2;0;1;;11;1;1;22;1;1;2;;MANUAL;21
2023_487807_2;2;45001;0;24;1;5;0;1;15272;11;4;5;;0;1;1;;MANUAL;21
2023_4867183_9_2;2;45016;0;14;1;5;0;1;68001;1;4;5;1;0;1;1;;MANUAL;22
2023_4838363;2;45015;0;25;1;2;0;1;;6;1;1;25;1;2;2;;MANUAL;22
2023_4585844_9_2;2;45012;0;17;1;5;0;1;11001;1;4;5;1;0;1;1;;MANUAL;22
2023_741927_2;2;44999;0;32;2;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;22
2023_637006;2;44939;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;22
2022_18308356_2;2;45001;0;25;1;5;0;1;17873;6;4;5;;0;1;1;;MANUAL;22
2022_18782069;2;44916;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;23
2023_1256723_2;2;44994;0;36;1;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;23
2023_1133919_2;2;45016;0;36;1;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;23
2023_635994_2;2;44998;0;25;1;5;0;1;8001;17;4;5;;0;1;1;;MANUAL;23
2022_18258135_2;2;45001;0;25;1;5;0;1;8296;1;4;5;;0;1;1;;MANUAL;23
2023_599638;2;44938;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;24
2022_17865818_2;2;44992;0;30;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;24
2023_72882_2;2;44988;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;24
2023_4808672;2;45015;0;32;1;1;0;1;;11;1;1;78;1;2;2;;MANUAL;24
2023_729205_2;2;45015;0;21;1;5;0;1;52001;11;4;5;;0;1;1;;MANUAL;24
2023_461298;2;44936;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;24
2023_2299987_2;2;45026;0;25;2;5;0;1;11001;17;4;5;;0;2;1;;MANUAL;24
2023_1097540_2;2;45016;0;36;1;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;25
2023_280835_2;2;44994;0;30;2;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;25
2022_15350695_2;2;45012;0;25;2;5;0;1;63001;1;4;5;;0;1;1;;MANUAL;25
2022_13674214_2;2;44987;0;32;1;5;0;1;68406;11;4;5;;0;1;1;;MANUAL;25
2023_4825911;2;45015;0;25;2;2;0;1;;6;1;1;17;1;2;2;;MANUAL;25
2022_18905267_2;2;45013;0;25;1;5;0;1;52001;1;4;5;;0;1;1;;MANUAL;1
2023_1163079_2;2;45009;0;25;2;5;0;1;5001;18;4;5;;0;1;1;;MANUAL;1
2023_63576_2;2;45007;0;25;1;5;0;1;13074;6;4;5;;0;1;1;;MANUAL;1
2023_1301914_2;2;44998;0;30;1;5;0;1;11001;18;4;5;;0;1;1;;MANUAL;1
2023_1358239_2;2;44992;0;35;1;5;0;1;68081;1;4;5;;0;1;3;;MANUAL;1
2023_202509_2;2;45012;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;1
2022_18318098_2;2;45013;0;25;2;5;0;1;76001;1;4;5;;0;1;1;;MANUAL;2
2023_868516;2;44944;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;2
2023_788113_2;2;44995;0;24;1;5;0;1;68547;11;4;5;;0;1;1;;MANUAL;2
2023_1395692_2;2;45007;0;25;1;5;0;1;8758;6;4;5;;0;1;1;;MANUAL;2
2023_913199_2;2;45006;0;32;1;5;0;1;11001;11;4;5;;0;1;1;;MANUAL;2
2023_1188095_2;2;45016;0;30;1;5;0;1;50001;6;4;5;;0;1;1;;MANUAL;2
2022_15712919_2;2;45000;0;35;1;5;0;1;50001;1;4;5;;0;1;3;;MANUAL;3
2022_18819756_2;2;45015;0;36;2;5;0;1;5088;11;4;5;;0;1;1;;MANUAL;3
2022_14900401_2;2;45026;0;25;2;5;0;1;76001;1;4;5;;0;2;1;;MANUAL;3
2023_2330287_2;2;44995;0;32;1;5;0;1;5088;6;4;5;;0;1;1;;MANUAL;3
2023_1496131_2;2;44995;0;23;2;5;0;1;5001;1;4;5;;0;1;1;;MANUAL;3
2023_1335095_2;2;45006;0;25;2;5;0;1;15238;1;4;5;;0;1;1;;MANUAL;4
2023_1220936_2;2;44994;0;32;1;5;0;1;47189;11;4;5;;0;1;1;;MANUAL;4
2022_18458650_2;2;45008;0;25;1;5;0;1;5001;17;4;5;;0;1;1;;MANUAL;4
2023_133041_2;2;45009;0;32;1;5;0;1;8001;18;4;5;;0;1;1;;MANUAL;4
2023_932858_2;2;45009;0;25;2;5;0;1;17001;18;4;5;;0;1;1;;MANUAL;4
2022_18372995_2;2;44992;0;23;1;5;0;1;5360;1;4;5;;0;1;1;;MANUAL;4
2022_15237199_2;2;44989;0;30;1;5;0;1;5088;6;4;5;;0;1;1;;MANUAL;5
2023_129985_2;2;45013;0;25;1;5;0;1;17001;18;4;5;;0;1;1;;MANUAL;5
2022_18008786_2;2;45009;0;25;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;5
2023_368788_2;2;44999;0;23;2;5;0;1;50001;6;4;5;;0;1;1;;MANUAL;5
2023_3577635;2;44992;0;25;1;2;0;1;;1;1;1;54;1;1;2;;MANUAL;5
2023_975098_2;2;44998;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;6
2023_4608855;2;45012;0;38;2;1;0;1;;9;1;1;40;1;1;2;;MANUAL;6
2023_735590;2;44942;0;15;1;1;1;1;;5;1;1;34;1;1;2;;MANUAL;6
2023_1306090_2;2;45008;0;25;1;5;0;1;19001;1;4;5;;0;1;1;;MANUAL;6
2023_708083_2;2;45015;0;25;2;5;0;1;76111;1;4;5;;0;1;1;;MANUAL;6
2023_4828405;2;45015;0;25;1;2;0;1;;1;1;1;19;1;2;2;;MANUAL;7
2022_18400343_2;2;44989;0;21;1;5;0;1;25307;11;4;5;;0;1;1;;MANUAL;7
2023_1388884_2;2;44994;0;23;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;7
2023_4835780;2;45015;0;23;1;2;0;1;;1;1;1;27;1;2;2;;MANUAL;7
2023_780281_2;2;45007;0;25;1;5;0;1;66001;1;4;5;;0;1;1;;MANUAL;7
2022_17971715_2;2;45013;0;1;1;5;0;1;73001;11;4;5;;0;1;1;;MANUAL;7
2023_204160_2;2;45006;0;21;1;5;0;1;5088;18;4;5;;0;1;1;;MANUAL;8
2022_17869725_2;2;44994;0;21;1;5;0;1;11001;11;4;5;;0;1;1;;MANUAL;8
2023_1228054_2;2;45008;0;14;2;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;8
2023_964556_2;2;44993;0;23;1;5;0;1;54001;1;4;5;;0;1;1;;MANUAL;8
2023_1081465_2;2;44999;0;25;1;5;0;1;5615;6;4;5;;0;1;1;;MANUAL;8
2023_58159_2;2;45006;0;25;2;5;0;1;76001;6;4;5;;0;1;1;;MANUAL;8
2023_1463870_2;2;44998;0;32;1;5;0;1;66170;11;4;5;;0;1;1;;MANUAL;9
2023_4622392;2;45012;0;38;2;1;0;1;;12;1;1;16;1;2;2;;MANUAL;9
2023_1199365_2;2;45001;0;23;2;5;0;1;68081;1;4;5;;0;1;1;;MANUAL;9
